"wingL" "tarsusL" "culmenL" "beakD" "gonysW"
"magnirostris" 4.4042 3.03895 2.724667 2.823767 2.675983
"conirostris" 4.349867 2.9842 2.6544 2.5138 2.360167
"difficilis" 4.224067 2.898917 2.277183 2.0111 1.929983
"scandens" 4.261222 2.929033 2.621789 2.1447 2.036944
"fortis" 4.244008 2.894717 2.407025 2.362658 2.221867
"fuliginosa" 4.132957 2.806514 2.094971 1.941157 1.845379
"pallida" 4.265425 3.08945 2.43025 2.01635 1.949125
"fusca" 3.975393 2.936536 2.051843 1.191264 1.401186
"parvulus" 4.1316 2.97306 1.97442 1.87354 1.81334
"pauper" 4.2325 3.0359 2.187 2.0734 1.9621
"Pinaroloxias" 4.1886 2.9802 2.3111 1.5475 1.6301
"Platyspiza" 4.419686 3.270543 2.331471 2.347471 2.282443
"psittacula" 4.23502 3.04912 2.25964 2.23004 2.07394
